basy_yljgid,basy_caption,basy_yydj,flag
510000002372 ,遂宁视美医院,一级甲等,0
510000002374 ,遂宁益民医院,一级甲等,0
510000002382 ,仁民中医医院,一级未定等,0
510000002386 ,遂宁市安居区人民医院,二级甲等,0
510000002388 ,遂宁市安居区妇幼保健计划生育服务中心,未定级未定等,0
510000002390 ,蓬溪县妇幼保健计划生育服务中心,二级甲等,0
510000002392 ,蓬溪县人民医院,三级未定等,0
510000002394 ,蓬溪恒道中医（骨科）医院,二级甲等,2
510000002396 ,蓬溪友爱天仁医院,二级乙等,0
510000002400 ,射洪市人民医院,三级乙等,0
510000002402 ,射洪市中医院,三级甲等,0
510000002404 ,射洪市妇幼保健计划生育服务中心,二级甲等,0
510000002406 ,射洪市康复保健医院（射洪市平安街道社区卫生服务中心）,未定级未定等,0
510000002408 ,洪州综合医院,一级甲等,0
510000002410 ,射洪百信医院,一级甲等,0
510000002412 ,射洪新协康医院,一级甲等,0
510000002414 ,大英县中医医院,二级甲等,0
510000002416 ,大英县妇幼保健计划生育服务中心,一级甲等,0
510000002418 ,大英县人民医院,二级甲等,0
510000002422 ,内江市第一人民医院,三级甲等,0
510000002426 ,内江市中医医院,三级甲等,0
510000002430 ,内江市第六人民医院,二级甲等,0
510000002432 ,内江市市中区人民医院,二级甲等,0
510000002440 ,内江市市中区眼科医院,一级未定等,3
510000002444 ,内江市市中区妇幼保健院,二级甲等,0
510000002448 ,内江泽惠医院,一级未定等,0
510000002452 ,内江鑫康济众医院,一级甲等,0
510000002462 ,内江市第二人民医院,三级甲等,0
510000002468 ,内江市东兴区人民医院,三级乙等,0
510000002470 ,内江骅康医院,一级甲等,0
510000002472 ,内江云川医院,一级甲等,0
510000002474 ,威远县中医医院,二级甲等,0
510000002476 ,威远县人民医院,三级乙等,0
510000002478 ,威远县妇幼保健计划生育服务中心,一级甲等,0
510000002482 ,威远县第三人民医院,二级乙等,0
510000002490 ,威远同心医院,二级乙等,0
510000002496 ,资中县妇幼保健计划生育服务中心,二级甲等,0
510000002498 ,资中县中医医院,三级乙等,0
510000002500 ,资中县精神病医院,二级乙等,0
510000002502 ,资中县人民医院,三级乙等,0
510000002504 ,内江蓝光有限责任公司医院,一级未定等,0
510000002506 ,隆昌市人民医院,三级乙等,0
510000002508 ,隆昌市妇幼保健院,三级乙等,0
510000002510 ,隆昌市中医医院,三级乙等,0
510000002520 ,乐山市人民医院（乐山市人民医院互联网医院）,三级甲等,0
