,basy_caption
779,宜宾市翠屏区白花镇中心卫生院
780,宜宾康真医院
781,宜宾惠康医院
782,宜宾正川医院
783,宜宾瑞康医院
784,宜宾肛泰肛肠医院
785,宣汉县三墩土家族乡卫生院
786,宣汉县人民医院
787,宣汉县柏树镇卫生院
788,宣汉县樊哙镇中心卫生院
789,宣汉县胡家镇中心卫生院
790,宣汉双桥医院
791,宣汉同盛医院
792,富顺县中医医院
793,富顺县古佛镇卫生院
794,富顺县板桥镇中心卫生院
795,富顺县长滩镇卫生院
796,富顺和健肾病医院
797,富顺济民医院
798,富顺爱心医院
799,射洪兴建医院
800,射洪市太乙中医院
801,射洪市太和街道城西社区卫生服务中心
802,射洪市官升镇卫生院
803,射洪市金华中心卫生院
804,射洪市金家中心卫生院
805,屏山仁爱精神病医院
806,屏山县中医医院
807,屏山县大乘镇卫生院
808,屏山县新市镇民族中心卫生院
809,屏山县龙华镇卫生院
810,岳池人仁医院
811,岳池县中医医院
812,岳池县临溪镇卫生院
813,岳池县人民医院
814,岳池县花园镇卫生院
815,岳池县酉溪镇中心卫生院
816,岳池县龙孔镇卫生院
817,峨眉山市九里镇中心卫生院
818,峨眉山市双福镇中心卫生院
819,峨眉山市龙池镇中心卫生院
820,崇州市廖家镇卫生院
821,崇州长征医院
822,巴中仁达医院
823,巴中市巴州区凤溪镇卫生院
824,巴中市恩阳区玉山中心卫生院
825,巴中市恩阳区群乐镇卫生院
826,巴中市恩阳区花丛中心卫生院
827,巴中平安内分泌专科医院
828,巴州丽人医院
829,巴州区回风街道社区卫生服务中心
830,布拖县特木里镇中心卫生院
831,平昌县元山镇中心卫生院
832,平昌县响滩镇中心卫生院
833,平昌县得胜镇五木卫生院
834,平昌县望京镇中心卫生院
835,平昌县邱家镇中心卫生院
836,平昌县龙岗镇中心卫生院
837,平武县土城藏族乡卫生院
