,basy_zyzd_jbbm_for_str_6,basy_yydj,basy_ssjczbm1_for_str_6,age_group,AGE-HAOCAI-6-6-E,AGE-JCJY-6-6-E,AGE-YP-6-6-E,AGE-ZFY-6-6-E,记录条数-6-6
3954,B37.10,6,33.240,8,618.8580769230769,7076.779615384615,5345.584230769231,18682.384615384617,26
4105,B44.10,6,,6,486.9691666666667,5287.630416666667,5305.309166666667,14308.282916666669,24
4106,B44.10,6,,8,483.9908333333333,4785.041666666667,5763.2588888888895,15246.635,36
4127,B44.10,6,33.240,5,869.5834782608697,5309.573913043479,5589.117391304348,16582.783913043477,23
4128,B44.10,6,33.240,6,860.173125,6620.116875,8373.346875,22395.68875,32
4129,B44.10,6,33.240,8,535.4612903225806,5988.774838709677,6578.702903225807,17966.497741935487,31
4170,B44.10,6,93.900,8,1095.2736363636363,8460.875909090908,9302.384090909092,29575.633181818182,22
4369,B49.x0,6,22.2x0,5,1057.154074074074,1617.5703703703705,974.7511111111111,10144.294444444446,27
4387,B49.x0,6,22.530,5,1713.0160869565218,1933.1939130434782,1206.3260869565217,11592.10695652174,23
5318,C15.10,6,42.410,5,26966.5204,9978.565999999999,10331.140599999999,66955.1734,50
5319,C15.10,6,42.410,6,25997.20756756757,9960.839594594594,10313.682297297297,66260.97945945947,74
5320,C15.10,6,42.410,8,25785.068103448277,12569.85672413793,13946.244310344828,77418.55258620689,58
5367,C15.10,6,99.250,6,995.4985714285715,4645.606666666667,3231.651428571429,11040.797619047618,21
5368,C15.10,6,99.250,8,1082.2595454545453,4541.136363636364,4267.361363636363,12529.768181818183,22
5912,C16.00,6,43.990,6,21811.886000000002,14876.243999999999,13280.877199999999,74468.9632,25
5913,C16.00,6,43.990,8,21014.164166666666,12250.184583333334,10653.709166666667,64284.090000000004,24
6165,C16.30,6,43.7x0,5,24098.941794871793,11576.845128205128,9271.454358974359,64550.72743589744,39
6166,C16.30,6,43.7x0,6,24705.17875,12725.135714285714,10779.29125,72426.80214285714,56
6167,C16.30,6,43.7x0,8,25205.24952380952,11880.840476190477,10441.535,65693.9919047619,42
6833,C18.20,6,17.330,5,14352.057878787879,8379.626666666667,6602.494848484848,43505.84454545455,33
6834,C18.20,6,17.330,6,15475.814893617022,9934.123829787235,6971.903617021276,48598.75893617021,47
6835,C18.20,6,17.330,8,14172.327272727272,9027.453863636363,6479.937727272728,45906.33931818182,44
6915,C18.30,6,17.330,6,12422.277499999998,8977.123333333333,6096.462916666666,44416.1325,24
7232,C18.70,6,17.360,5,13620.885625,8543.382291666667,6471.059375,45779.06145833334,48
7233,C18.70,6,17.360,6,13540.588085106383,8540.292127659573,6687.399574468084,44498.88255319149,47
7234,C18.70,6,17.360,8,14809.525,10779.722954545454,6577.685,48006.866136363635,44
7665,C20.x0,4,,5,868.1112820512822,2495.153846153846,4576.24076923077,9787.428974358974,39
7666,C20.x0,4,,6,882.2016129032259,2668.6451612903224,4819.815806451613,10668.500322580645,31
7667,C20.x0,4,,8,866.3857692307691,2930.019230769231,4756.569230769231,10941.839615384615,26
7782,C20.x0,5,48.630,6,10848.246666666666,8426.849523809524,4996.407619047619,36500.64047619047,21
7906,C20.x0,6,48.350,5,3565.13625,4319.06625,980.8995833333333,13222.856666666667,24
7925,C20.x0,6,48.510,5,13667.464137931036,7804.6134482758625,6137.496551724138,43415.60206896551,29
7939,C20.x0,6,48.630,4,15892.056595744682,8379.245531914894,6977.633617021277,47210.92723404255,47
7940,C20.x0,6,48.630,5,13857.648378378379,8631.851891891893,6576.492270270271,45129.887783783786,185
7941,C20.x0,6,48.630,6,13337.836763005778,8806.154971098265,6128.122947976879,45171.55947976879,173
7942,C20.x0,6,48.630,8,16231.63254054054,10695.666324324324,7635.827675675676,51462.24648648648,185
7943,C20.x0,6,48.630,9,13607.257608695652,10419.944347826087,7317.3623913043475,50696.02108695653,46
