,basy_zyzd_jbbm_3,count,耗材费
499,499,758,537.257493403694
500,500,531,5118.465649717515
501,501,981,2498.7502242609585
502,502,456,4821.635789473684
503,503,769,20120.046085825747
504,504,483,14764.389130434784
505,505,729,1951.9244855967077
506,506,1333,8467.470982745686
507,507,1008,2727.756904761905
508,508,1346,11233.680765230312
509,509,1144,13214.611634615385
510,510,10373,6160.812734985057
511,511,11246,7931.771780188511
512,512,5083,6357.738272673618
513,513,10200,5412.476166666666
514,514,4775,6735.759604188482
515,515,22616,3910.456900866643
516,516,19844,4812.022461197339
517,517,12350,6116.581668016194
518,518,30275,5011.676726341866
519,519,7119,9564.726986936368
520,520,25005,4131.189615676864
521,521,17779,4849.174732549637
522,522,22483,3084.057773428813
523,523,13487,5007.079126566324
524,524,2198,8876.46550045496
525,525,20080,2802.5367211155376
526,526,7449,7032.757746006176
527,527,3690,7198.133669376693
528,528,1303,24282.29108211819
529,529,1791,25820.169240647683
530,530,10867,7320.453202355756
531,531,1636,18831.946577017115
532,532,2070,22299.872425120775
533,533,3001,36889.5487170943
534,534,2540,27539.73482677165
535,535,7748,9106.96826019618
536,536,6966,13831.31566609245
537,537,3495,30933.406311874107
538,538,10980,13331.88503369763
539,539,8076,18635.60870851907
540,540,19060,12095.039034102834
541,541,18381,9388.219824819107
542,542,12405,10007.458246674727
543,543,21307,9257.082456000375
544,544,9404,18191.03213526159
545,545,26735,6396.535459884048
546,546,16027,5632.068171835029
547,547,26412,9990.496931319098
548,548,19256,9196.540446614043
549,549,6314,17309.13418118467
550,550,25854,6743.801860447126
551,551,5810,16193.83609466437
552,552,6064,19015.78433707124
553,553,4264,24272.93126172608
554,554,9169,16936.631136437994
555,555,2945,19877.17459762309
556,556,14299,6621.433368067697
557,557,12752,5767.740419542032
558,558,10993,5741.013638679159
559,559,3900,5506.656884615385
560,560,10016,6539.083294728434
561,561,4040,6713.537430693069
562,562,10103,2421.1753795902205
563,563,12806,4414.028111041699
564,564,18118,1980.1410978032893
565,565,8389,2069.954206699249
566,566,7175,2897.108900348432
567,567,12650,2247.903881422925
568,568,616,6784.21025974026
569,569,1787,3352.979099048685
570,570,1632,10066.051158088236
571,571,1554,5843.500386100386
572,572,1191,5568.912233417296
573,573,3767,1929.3397318821342
574,574,7977,1936.6299711671054
575,575,1470,527.4668707482994
576,576,2183,1006.2912688960146
577,577,2832,1371.230515536723
578,578,14760,607.266464092141
579,579,13581,576.8095935498122
580,580,8566,855.418624795704
581,581,9901,1117.249994950005
582,582,16008,568.2010157421289
583,583,16579,599.1139043368116
584,584,10641,645.550690724556
585,585,23916,704.3592511289514
586,586,24993,765.7699515864441
587,587,19220,690.1182003121748
588,588,42689,752.9605547096442
589,589,17667,888.5937833248429
590,590,22503,1055.7620961649557
591,591,4287,973.7472195008164
592,592,4430,929.1700677200903
593,593,5871,1242.681200817578
594,594,9211,1483.189788296602
595,595,14209,1072.3455310014779
596,596,9969,1249.8772715417795
597,597,19334,1550.269954484328
598,598,27488,938.6061303114086
599,599,20233,717.6472742549302
600,600,6469,729.1579842324934
601,601,6860,1338.7953309037903
602,602,18311,847.1266118726448
603,603,19170,676.3452357850808
604,604,1056,592.6010037878788
605,605,3172,3308.252976040353
606,606,28987,1075.721485493497
607,607,31056,686.8145929933024
608,608,18841,531.2030895387718
609,609,4697,846.0522461145412
610,610,1998,1237.7073723723724
611,611,1452,1228.2139600550963
612,612,172,1366.2895930232557
613,613,482,744.2411410788382
614,614,389,8256.367043701799
615,615,8684,766.2225138185167
616,616,1065,1922.567089201878
617,617,776,2121.0304639175256
618,618,908,1431.7151211453745
